focal_points, angle_of_incidence, directions
E,60,315
E,60,240
E,60,150
B,60,0
D,60,105
A,60,60
A,60,225
D,60,195
E,60,15
C,60,75
E,60,300
E,60,195
D,60,210
B,60,60
A,60,30
C,60,210
E,60,180
B,60,180
E,60,30
D,60,60
B,60,150
D,60,330
C,60,90
A,60,150
E,60,105
B,60,270
A,60,75
B,60,135
E,60,90
D,60,0
D,60,45
E,60,165
B,60,75
C,60,0
B,60,300
A,60,270
C,60,180
A,60,285
C,60,30
A,60,0
D,60,255
A,60,195
B,60,285
E,60,135
E,60,270
A,60,300
B,60,45
C,60,120
D,60,165
A,60,90
C,60,300
B,60,165
C,60,330
C,60,315
D,60,150
D,60,75
B,60,210
B,60,90
A,60,330
A,60,105
C,60,255
D,60,300
D,60,180
D,60,225
A,60,165
D,60,30
E,60,345
C,60,45
B,60,315
B,60,255
D,60,15
E,60,45
E,60,255
B,60,15
E,60,330
C,60,195
B,60,240
D,60,120
D,60,90
E,60,120
B,60,30
A,60,15
D,60,240
B,60,345
A,60,255
C,60,15
A,60,210
C,60,285
A,60,45
C,60,240
D,60,135
C,60,150
D,60,270
E,60,0
C,60,60
A,60,315
D,60,315
B,60,330
E,60,75
A,60,120
D,60,285
E,60,225
A,60,240
C,60,270
C,60,165
A,60,345
C,60,225
D,60,345
A,60,180
C,60,345
E,60,285
E,60,210
B,60,120
B,60,195
C,60,135
E,60,60
B,60,105
C,60,105
B,60,225
A,60,135
